open|adjective|initial, starting, opening 
open|noun|start, beginning, opening 
open la|noun|at the opening, in the beginning 
open|verb transitive|to open, to start, to begin, to turn on 
open|auxiliary verb|to begin, to start 
pakala|adjective|destroyed, ruined, demolished, shattered, wrecked 
pakala|adverb|destroyed, ruined, demolished, shattered, wrecked 
pakala!|interjection|damn!, fuck! 
pakala|noun|blunder, accident, mistake, destruction, damage, breaking 
pakala|verb intransitive|to screw up, to fall apart, to break 
pakala|verb transitive|to screw up, to ruin, to break, to hurt, to injure, to damage 
pali|adjective|active, work-related, operating, working 
pali|adverb|actively, briskly
pali|noun|activity, work, deed, project 
pali|verb intransitive|to act, to work, to function 
pali|verb transitive|to do, to make, to build, to create 
palisa|adjective|long
palisa|noun|long hard thing| branch, rod, stick, pointy thing 
palisa|verb transitive|to stretch, to poke, to stab, to sexually arouse 
pan|noun|cereal, grain,barley, corn, oat, rice, wheat, bread, pasta 
pan|verb transitive|to sow 
pana|adjective|generous 
pana|noun|giving, transfer, exchange 
pana|verb transitive|to give, to put, to send, to place, to release, to emit, to cause 
pilin|adjective|sensitive, feeling, empathic 
pilin|adverb|perceptively 
pilin|noun|feelings, emotion, feel, think, sense, touch 
pilin|verb intransitive|to feel, to sense 
pilin|verb transitive|to feel, to think, to touch, to fumble, to fiddle 
pimeja|adjective|black, dark 
pimeja|noun|darkness, shadows 
pimeja|verb transitive|to darken 
pini|adjective|completed, finished, past, done 
pini|adverb|ago, past, perfectly 
pini|noun|end, tip 
pini|verb transitive|to end, to stop, to turn off, to finish, to close 
pini|auxiliary verb|to stop, to finish, to end, to interrupt 
pipi|noun|bug, insect, spider 
poka|adjective|neighbouring 
poka|noun|side, hip, next to 
poki|noun|container, box, bowl, cup, glass 
poki|verb transitive|to box up, to put in, to can, to bottle 
pona|adjective|good, simple, positive, nice, correct, right 
pona|adverb|good, simple, positive, nice, correct, right 
pona!|interjection|great!, good!, thanks!, OK!, cool!, yay!
pona|noun|good, simplicity, positivity 
pona la|noun|if good, if simplicity, if positivity 
pona|verb transitive|to improve, to fix, to repair, to make good 
sama|adjective|same, similar, equal, of equal status or position 
sama|adverb|just as, equally, exactly the same, just the same, similarly 
sama|noun|equality, parity, equity, identity, par, sameness 
sama la|noun|in case of equality, if parity, on identity 
sama|preposition|like, as, seem 
sama|verb transitive|to equate, to make equal, to make similar to 
seli|adjective|hot, warm, cooked 
seli|adverb|hot, warm, cooked 
seli|noun|fire, warmth, heat 
seli|verb transitive|to heat, to warm up, to cook 
selo|noun|skin, outer form, bark, peel, shell, skin, boundary, shape 
selo|verb transitive|to shelter, to protect, to guard 
seme|question pronoun|what, which, wh- (question word) 
sewi|adjective|superior, elevated, religious, formal 
sewi|adverb|superior, elevated, religious, formal 
sewi|noun|high, up, above, top, over, on 
sewi|verb intransitive|to get up 
sewi|verb transitive|to lift 
sijelo|adjective|physical, bodily, corporal, corporeal, material, carnal 
sijelo|adverb|physically, bodily 
sijelo|noun|body (of person or animal), physical state, torso 
sijelo|verb transitive|to heal, to heal up, to cure 
sike|adjective|round, cyclical, of one year 
sike|adverb|rotated 
sike|noun|circle, ball, cycle, sphere, wheel| round or circular thing 
sike|verb transitive|to orbit, to circle, to revolve, to circle around, to rotate 
sin|adjective|new, fresh, another 
sin|adverb|regenerative 
sin|noun|news, novelty, innovation, newness, new release 
sin|verb transitive|to renew, to renovate, to freshen 
sina|personal pronoun|you 
sina|possessive pronoun|yours 
e sina|reflexive pronoun|yourself, yourselves 
sinpin|adjective|facial, frontal, anterior, vertical 
sinpin|noun|face, foremost, front, wall, chest, torso 
sitelen|adjective|figurative, pictorial, metaphorical 
sitelen|adverb|pictorially 
sitelen|noun|picture, image, representation, symbol, mark, writing 
sitelen|verb transitive|to draw, to write 
sona|adjective|knowing, cognizant, shrewd 
sona|noun|knowledge, wisdom, intelligence, understanding 
sona|verb intransitive|to know, to understand 
sona|verb transitive|to know, to understand, to know how to 
sona|transitives verb|to learn, to study 
sona|auxiliary verb|to know how to 
soweli|adjective|animal 
soweli|noun|animal, especially land mammal, lovable animal, beast 
suli|adjective|big, tall, long, adult, important 
suli|adverb|big, tall, long, adult, important 
suli|noun|size 
suli|verb transitive|to enlarge, to lengthen 
suno|adjective|sunny, sunnily 
suno|adverb|sunny, sunnily 
suno|noun|sun, light 
suno|verb transitive|to light, to illumine 
supa|adjective|flat, shallow, flat-bottomed, horizontal 
supa|noun|horizontal surface, e.g furniture, table, chair, pillow, floor 
suwi|adjective|sweet, cute 
suwi|noun|candy, sweet food 
suwi|verb transitive|to sweeten 
tan|adjective|causal
tan|noun|origin, cause 
tan|preposition|from, by, because of, since 
tan|verb intransitive|to come from, originate from, come out of 
taso|adjective|only, sole 
taso|adverb|only, just, merely, simply, solely, singly 
taso|conjunction|but, however 
tawa|adjective|moving, mobile 
tawa|adverb|moving, mobile 
tawa|noun|movement, transportation 
tawa|preposition|to, in order to, towards, for, until 
tawa|verb intransitive|to walk, to travel, to move, to leave, to visit 
tawa|verb transitive|to move, to displace 
telo|adjective|wett, slobbery, moist, damp, humid, sticky, sweaty, dewy, drizzly 
telo|adverb|wett, slobbery, moist, damp, humid, sticky, sweaty, dewy, drizzly 
telo|noun|water, liquid, juice, sauce 
telo|verb transitive|to water, to wash with water, to put water to, to melt, to liquify 
tenpo|adjective|temporal, chronological, chronologic 
tenpo|adverb|chronologically 
tenpo|noun|time, period of time, moment, duration, situation, occasion 
toki|adjective|speaking, eloquent, linguistic, verbal, grammatical 
toki|adverb|speaking, eloquent, linguistic, verbal, grammatical 
toki!|interjection|hello, hi, good morning
toki|noun|language, speech, tongue, lingo, jargon 
toki|verb intransitive|to talk, to chat, to communicate 
toki|verb transitive|to speak, to talk, to say, to pronounce, to discourse 
tomo|adjective|urban, domestic, household 
tomo|adverb|urban, domestic, household 
tomo|noun|indoor constructed space, e.g. house, home, room, building 
tomo|verb transitive|to construct, to engineer 
tu|adjective numeral|two, 2 
tu|noun|duo, pair 
tu|verb transitive|to divide, to double, to separate, to cut in two 
unpa|adjective|erotic, sexual 
unpa|adverb|erotic, sexual 
unpa|noun|sex, sexuality 
unpa|verb intransitive|to have sex 
unpa|verb transitive|to have sex with, to sleep with, to fuck 
uta|adjective|oral 
uta|adverb|orally 
uta|noun|mouth, lips, oral cavity, jaw, beak 
uta|verb transitive|to kiss, to osculate, to oral stimulate, to suck 
utala|adjective|fighting 
utala|adverb|fighting 
utala|noun|conflict, disharmony, fight, war, battle, attack, violence 
utala|verb transitive|to hit, to strike, to attack, to compete against 
walo|adjective|white, whitish, light-coloured, pale 
walo|noun|white thing or part, whiteness, lightness 
walo|verb transitive|to whiten, to whitewash 
wan|adjective numeral|one, 1 
wan|noun|unit, element, particle, part, piece 
wan|verb transitive|to unite, to make one 
waso|adjective|bird- 
waso|noun|bird, bat| flying creature, winged animal 
wawa|adjective|energetic, strong, fierce, intense, sure, confident 
wawa|adverb|strongly, powerfully 
wawa|noun|energy, strength, power 
wawa|verb transitive|to strengthen, to energize, to empower 
weka|adjective|absent, away, ignored 
weka|noun|absence 
weka|verb transitive|to remove, to eliminate, to throw away, to get rid of 
wile|noun|desire, need, will 
wile|verb transitive|to want, need, wish, have to, must, will, should 
wile|auxiliary verb|to want, need, wish, have to, must, will, should 
